userName,score,content,publishTime,replyCount,usefulCount,touristType,ipLocatedName,content_cleaned,publish_datetime,date,month,weekday,hour,season,content_length,score_level,high_useful,情感得分,情感类别,风景_得分,服务_得分,餐饮_得分,住宿_得分,交通_得分,综合维度分,主要维度
YoYo_8G5G6B8V,5.0,东方明珠非常壮观，在上海陆家嘴，在这里可以领略美丽的外滩和黄浦江，每天都有来自全国各地络绎不绝的游客纷至沓来，来感受中国上海的美。,1778497793000,0,3,朋友出游,四川,东方明珠非常壮观，在上海陆家嘴，在这里可以领略美丽的外滩和黄浦江，每天都有来自全国各地络绎不绝的游客纷至沓来，来感受中国上海的美。,2026-05-11 19:09:53,2026-05-11,5,0,19,春季,65,高,True,0.9999840289259405,正面,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,风景
coconuts,5.0,"上海东方明珠旅游点评
 
东方明珠是上海外滩夜景的标志性地标，也是感受魔都繁华的必打卡之地。夜幕降临，塔身变幻绚丽灯光，搭配粉嫩花枝点缀，温柔又浪漫。放眼黄浦江两岸，摩天高楼鳞次栉比，万家灯火璀璨闪烁，游船缓缓驶过江面，光影倒映水波，氛围感十足。登高俯瞰，整座城市夜景尽收眼底，高楼林立、江景蜿蜒，尽显国际化都市的磅礴气势。这里兼具观光、休闲与观景体验，白日景致大气开阔，夜色更是惊艳迷人。漫步江边吹吹晚风，欣赏璀璨灯火，既能感受上海的摩登魅力，又能收获治愈的城市夜景，是来上海旅行不容错过的经典去处。",1779020918000,0,1,朋友出游,上海,上海东方明珠旅游点评 东方明珠是上海外滩夜景的标志性地标，也是感受魔都繁华的必打卡之地。夜幕降临，塔身变幻绚丽灯光，搭配粉嫩花枝点缀，温柔又浪漫。放眼黄浦江两岸，摩天高楼鳞次栉比，万家灯火璀璨闪烁，游船缓缓驶过江面，光影倒映水波，氛围感十足。登高俯瞰，整座城市夜景尽收眼底，高楼林立、江景蜿蜒，尽显国际化都市的磅礴气势。这里兼具观光、休闲与观景体验，白日景致大气开阔，夜色更是惊艳迷人。漫步江边吹吹晚风，欣赏璀璨灯火，既能感受上海的摩登魅力，又能收获治愈的城市夜景，是来上海旅行不容错过的经典去处。,2026-05-17 20:28:38,2026-05-17,5,6,20,春季,249,高,True,1.0,正面,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,风景
匿名用户,5.0,东方明珠二球太值！透明悬空廊超刺激，浦江两岸全景美到窒息，夜景绝了。259米全透明玻璃步道，腿软但巨出片！上海地标打卡必来,1776244305000,0,0,,云南,东方明珠二球太值！透明悬空廊超刺激，浦江两岸全景美到窒息，夜景绝了。259米全透明玻璃步道，腿软但巨出片！上海地标打卡必来,2026-04-15 17:11:45,2026-04-15,4,2,17,春季,61,高,False,0.9961503395427469,正面,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,风景
YoYo_3K0U8V4U,5.0,上海地标东方明珠果然名不虚传，值得专程前来打卡！468米高的塔身造型独特，极具辨识度。登上263米主观光层，360度俯瞰浦江两岸，外滩百年建筑群与陆家嘴摩天大楼交相辉映，上海的繁华尽收眼底。259米全透明悬空观光廊惊险刺激，凌空漫步的体验让人难忘。傍晚华灯初上，塔身流光溢彩，与璀璨夜景融为一体，美不胜收。塔内的上海历史陈列馆内容丰富，能让人深入了解城市变迁。整体服务高效有序，游览体验极佳，是感受上海魅力必到的打卡地。,1781417723000,0,0,家庭亲子,菲律宾,上海地标东方明珠果然名不虚传，值得专程前来打卡！468米高的塔身造型独特，极具辨识度。登上263米主观光层，360度俯瞰浦江两岸，外滩百年建筑群与陆家嘴摩天大楼交相辉映，上海的繁华尽收眼底。259米全透明悬空观光廊惊险刺激，凌空漫步的体验让人难忘。傍晚华灯初上，塔身流光溢彩，与璀璨夜景融为一体，美不胜收。塔内的上海历史陈列馆内容丰富，能让人深入了解城市变迁。整体服务高效有序，游览体验极佳，是感受上海魅力必到的打卡地。,2026-06-14 14:15:23,2026-06-14,6,6,14,夏季,210,高,False,0.9999999999999825,正面,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.2,风景
超级大香菇一号,5.0,挺不错的，作为上海的标志性建筑之一，东方明珠值得一来。自助午餐种类还可以，旋转餐厅也很有特色。透明悬空观景台真的很棒，体验感拉满！,1780760658000,0,0,家庭亲子,江苏,挺不错的，作为上海的标志性建筑之一，东方明珠值得一来。自助午餐种类还可以，旋转餐厅也很有特色。透明悬空观景台真的很棒，体验感拉满！,2026-06-06 23:44:18,2026-06-06,6,5,23,夏季,65,高,False,0.9999936022682028,正面,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.2,餐饮
CJ K,5.0,东方明珠塔值得一去，是上海标志性建筑，位于豪华地段，可以俯瞰黄浦江和上海市区，站在上面的悬空玻璃道上比较刺激，上塔的游览人群比较多。,1776156792000,0,0,情侣夫妻,广西,东方明珠塔值得一去，是上海标志性建筑，位于豪华地段，可以俯瞰黄浦江和上海市区，站在上面的悬空玻璃道上比较刺激，上塔的游览人群比较多。,2026-04-14 16:53:12,2026-04-14,4,1,16,春季,66,高,False,0.999856030921123,正面,0.0,0.0,0.0,0.0,0.0,0.0,无明确维度
荷戟孤鸿,5.0,电梯上达的速度很快。在二球里视野开阔，能俯瞰黄浦江周边城市景象。晚上，华灯初上，触目皆灯火璀璨。二球下还有玻璃全景观光长廊，视野更加开阔，就是有些挑战胆量。90米处还有适合儿童的科幻感十足的项目。,1781428562000,0,0,陪同父母,上海,电梯上达的速度很快。在二球里视野开阔，能俯瞰黄浦江周边城市景象。晚上，华灯初上，触目皆灯火璀璨。二球下还有玻璃全景观光长廊，视野更加开阔，就是有些挑战胆量。90米处还有适合儿童的科幻感十足的项目。,2026-06-14 17:16:02,2026-06-14,6,6,17,夏季,98,高,False,0.9999999999993021,正面,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,风景
YoYo_3Q0P3T0P,4.0,打卡上海地标东方明珠，整体中规中矩。高空观景视野开阔，浦江两岸全景尽收眼底，玻璃走廊很有特色，适合拍照。底层历史展馆内容丰富，能了解老上海风情。缺点是节假日排队耗时久，门票价格偏高。建议傍晚登塔，一次性观赏白日江景与璀璨夜景，错峰出行体验会好很多。,1783007287000,0,0,家庭亲子,北京,打卡上海地标东方明珠，整体中规中矩。高空观景视野开阔，浦江两岸全景尽收眼底，玻璃走廊很有特色，适合拍照。底层历史展馆内容丰富，能了解老上海风情。缺点是节假日排队耗时久，门票价格偏高。建议傍晚登塔，一次性观赏白日江景与璀璨夜景，错峰出行体验会好很多。,2026-07-02 23:48:07,2026-07-02,7,3,23,夏季,124,高,False,0.9999999999940297,正面,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,风景
Sevenking520,5.0,登上东方明珠，俯瞰黄浦江两岸，城市风光尽收眼底，非常震撼。夜景璀璨夺目，是了解上海、感受魔都魅力的绝佳窗口，很值得一去。,1777874105000,0,0,家庭亲子,浙江,登上东方明珠，俯瞰黄浦江两岸，城市风光尽收眼底，非常震撼。夜景璀璨夺目，是了解上海、感受魔都魅力的绝佳窗口，很值得一去。,2026-05-04 13:55:05,2026-05-04,5,0,13,春季,60,高,False,0.9999999944457685,正面,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,风景
最美不过路上的风景,5.0,东方明珠广播电视塔，简称“东方明珠”，位于上海市浦东新区陆家嘴世纪大道1号，地处黄浦江畔，背拥陆家嘴地区现代化建筑楼群，与隔江的外滩万国建筑博览群交相辉映，1994年10月1日建成投入使用，是集都市观光、时尚餐饮、购物娱乐、历史陈列、浦江游览、会展演出、广播电视发射等多功能于一体的上海市标志性建筑之一。截至2019年，为亚洲第六高塔、世界第九高塔。,1764514718000,1,9,情侣夫妻,江苏,东方明珠广播电视塔，简称东方明珠，位于上海市浦东新区陆家嘴世纪大道1号，地处黄浦江畔，背拥陆家嘴地区现代化建筑楼群，与隔江的外滩万国建筑博览群交相辉映，1994年10月1日建成投入使用，是集都市观光、时尚餐饮、购物娱乐、历史陈列、浦江游览、会展演出、广播电视发射等多功能于一体的上海市标志性建筑之一。截至2019年，为亚洲第六高塔、世界第九高塔。,2025-11-30 22:58:38,2025-11-30,11,6,22,秋季,173,高,True,0.9999999999999507,正面,0.0,0.0,0.0,0.0,0.0,0.0,无明确维度
