userName,score,content,publishTime,replyCount,usefulCount,touristType,ipLocatedName,content_cleaned,publish_datetime,date,month,weekday,hour,season,content_length,score_level,high_useful,情感得分,情感类别,风景_得分,服务_得分,餐饮_得分,住宿_得分,交通_得分,综合维度分,主要维度
燚燚34,5.0,故宫博物院，旧称紫禁城，是明清两代皇家宫殿，也是世界现存规模最大、保存最完整的木结构宫殿建筑群。红墙黄瓦气势恢宏，中轴对称布局尽显皇家威严。太和殿庄严肃穆，角楼构造精妙，御花园古雅清幽 。一砖一瓦承载六百年沧桑，漫步其间，仿佛穿越历史，沉浸式感受中华建筑艺术与文化底蕴的极致魅力。,1777439480000,0,6,朋友出游,广东,故宫博物院，旧称紫禁城，是明清两代皇家宫殿，也是世界现存规模最大、保存最完整的木结构宫殿建筑群。红墙黄瓦气势恢宏，中轴对称布局尽显皇家威严。太和殿庄严肃穆，角楼构造精妙，御花园古雅清幽 。一砖一瓦承载六百年沧桑，漫步其间，仿佛穿越历史，沉浸式感受中华建筑艺术与文化底蕴的极致魅力。,2026-04-29 13:11:20,2026-04-29,4,2,13,春季,140,高,True,0.9999999999979159,正面,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,风景
YoYo_0X9P2F0C,5.0,秀才说温静老师对故宫历史解读透彻独到，语言温润有力量，把厚重历史讲得鲜活易懂，全程沉浸式感受故宫魅力，是一次极具深度和温度的难忘体验！,1777725981000,0,2,,北京,秀才说温静老师对故宫历史解读透彻独到，语言温润有力量，把厚重历史讲得鲜活易懂，全程沉浸式感受故宫魅力，是一次极具深度和温度的难忘体验！,2026-05-02 20:46:21,2026-05-02,5,5,20,春季,67,高,True,0.9999999999525191,正面,0.0,0.0,0.0,0.0,0.0,0.0,无明确维度
匿名用户,5.0,秀才说李导带我游国博和故宫，故宫很大很美很多历史文化古迹，国博也很大里面的宝贝数不胜数根本看不过来太漂亮了，李导也很好讲解的风趣幽默很尽心尽力！,1782918396000,0,0,朋友出游,北京,秀才说李导带我游国博和故宫，故宫很大很美很多历史文化古迹，国博也很大里面的宝贝数不胜数根本看不过来太漂亮了，李导也很好讲解的风趣幽默很尽心尽力！,2026-07-01 23:06:36,2026-07-01,7,2,23,夏季,72,高,False,0.9999995953335551,正面,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.2,风景
-圣光-,5.0,故宫博物院不见得是最有历史意义的博物馆，但绝对是最奢侈的博物馆，珍宝馆加钟表馆两个单独收费的展馆里的东西价值就够组建多少支北洋舰队了，大清不亡谁亡啊～,1774699736000,0,1,单独旅行,安徽,故宫博物院不见得是最有历史意义的博物馆，但绝对是最奢侈的博物馆，珍宝馆加钟表馆两个单独收费的展馆里的东西价值就够组建多少支北洋舰队了，大清不亡谁亡啊,2026-03-28 20:08:56,2026-03-28,3,5,20,春季,74,高,True,0.9999985572714873,正面,0.0,0.0,0.0,0.0,0.0,0.0,无明确维度
中秋之夜,5.0,六百年紫禁城藏着无数细节与故事，秀才说金导游细致讲解，解开很多历史疑惑，加深对古建筑、传统文化的理解，增强文化认同感。值得推荐,1781753219000,0,0,家庭亲子,北京,六百年紫禁城藏着无数细节与故事，秀才说金导游细致讲解，解开很多历史疑惑，加深对古建筑、传统文化的理解，增强文化认同感。值得推荐,2026-06-18 11:26:59,2026-06-18,6,3,11,夏季,63,高,False,0.9999999942334952,正面,0.0,0.6666666666666666,0.0,0.0,0.0,0.13333333333333333,服务
基苏木赫芙拉,5.0,故宫承载着明清两朝皇家的变迁与荣耀，以600年的沧桑诉说着历史长卷。秀才说导游张树强带我们漫步其间，感受到岁月的沉淀与厚重，仿佛听到历史的回声，非常棒的旅游体验！,1779365944000,0,0,单独旅行,北京,故宫承载着明清两朝皇家的变迁与荣耀，以600年的沧桑诉说着历史长卷。秀才说导游张树强带我们漫步其间，感受到岁月的沉淀与厚重，仿佛听到历史的回声，非常棒的旅游体验！,2026-05-21 20:19:04,2026-05-21,5,3,20,春季,81,高,False,0.9999978778051319,正面,0.0,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,服务
匿名用户,5.0,秀才说，小周老师讲解了很多故宫的历史故事，关于故宫的历史文化讲得非常的透彻，孩子们一路跟随，听得非常的认真，学习到了很多明清的历史知识，非常推荐周老师的讲解。,1777706982000,0,0,家庭亲子,北京,秀才说，小周老师讲解了很多故宫的历史故事，关于故宫的历史文化讲得非常的透彻，孩子们一路跟随，听得非常的认真，学习到了很多明清的历史知识，非常推荐周老师的讲解。,2026-05-02 15:29:42,2026-05-02,5,5,15,春季,79,高,False,0.9999999999999742,正面,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333,服务
YoYo_3M4I0H7M,5.0,秀才说李导带我游国博和故宫；国博藏品浩瀚，从远古到近现代，堪称中华文明的百科全书，逛一天根本看不完；故宫建筑气势恢宏，红墙黄瓦间尽显皇家气派，每一处角落都是历史的沉淀；导游讲解生动有趣，能把枯燥的历史讲成引人入胜的故事，让人印象深刻。,1782908994000,0,0,陪同父母,北京,秀才说李导带我游国博和故宫；国博藏品浩瀚，从远古到近现代，堪称中华文明的百科全书，逛一天根本看不完；故宫建筑气势恢宏，红墙黄瓦间尽显皇家气派，每一处角落都是历史的沉淀；导游讲解生动有趣，能把枯燥的历史讲成引人入胜的故事，让人印象深刻。,2026-07-01 20:29:54,2026-07-01,7,2,20,夏季,117,高,False,0.9999999999590012,正面,0.0,0.6666666666666666,0.0,0.0,0.0,0.13333333333333333,服务
YoYo_0I1O4P1P,5.0,方媛导游讲解非常到位，讲的很好，很耐心细致，更好的了解了故宫丰富的历史文化。北京故宫是中国明清两代的皇家宫殿建筑群，作为世界文化遗产和世界上现存规模最大、保存最完整的古代木构建筑群，既是中华文明的历史见证，也是建筑艺术与皇家文化的集大成者,1761638082000,1,5,情侣夫妻,北京,方媛导游讲解非常到位，讲的很好，很耐心细致，更好的了解了故宫丰富的历史文化。北京故宫是中国明清两代的皇家宫殿建筑群，作为世界文化遗产和世界上现存规模最大、保存最完整的古代木构建筑群，既是中华文明的历史见证，也是建筑艺术与皇家文化的集大成者,2025-10-28 15:54:42,2025-10-28,10,1,15,秋季,119,高,True,0.999999999999877,正面,0.0,1.0,0.0,0.0,0.0,0.2,服务
YoYo_9Q7Y0X9W,5.0,超级五星推荐呢，踏入午门瞬间被震撼，红墙黄瓦尽显中式古典韵味，走过的一砖一瓦皆藏百年历史。各色宫殿气势恢宏，建筑工艺精巧，跟着导游漫步其间仿佛穿越古今，可以沉浸式感受皇家气派与历史底蕴，性价比超高。秀才说王晶导游介绍详细，整体流程结束收获多多啊，下次朋友来还推荐王导游,1779004264000,0,0,单独旅行,北京,超级五星推荐呢，踏入午门瞬间被震撼，红墙黄瓦尽显中式古典韵味，走过的一砖一瓦皆藏百年历史。各色宫殿气势恢宏，建筑工艺精巧，跟着导游漫步其间仿佛穿越古今，可以沉浸式感受皇家气派与历史底蕴，性价比超高。秀才说王晶导游介绍详细，整体流程结束收获多多啊，下次朋友来还推荐王导游,2026-05-17 15:51:04,2026-05-17,5,6,15,春季,134,高,False,0.9999999999999998,正面,0.0,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,服务
