userName,score,content,publishTime,replyCount,usefulCount,touristType,ipLocatedName
匿名用户,4.0,非常值得一来，建议上午来玩，上午人少基本不用排队，而且舒服。尤其是喜欢玩刺激性过山车的朋友们，可以来玩一玩，园内的过山车有倒立的过程，有生不如死的过程，这里跳楼机很舒服。租个电动车。一家几口开开心心的在园内玩，非常省力。,1746400412000,0,1,家庭亲子,湖南
YoYo_7Z4W9I4G,5.0,童话般的世界，适合带小朋友过来看风景，更适合情侣过来一起体验各种奇幻世界，每个角落看起来都很舒服，门口的服务人员也非常热情😄,1586077199000,0,5,,
YoYo_0W8T4P0L,4.0,"首先说明，本人是一名刚刚毕业的高中生，以下点评均为个人意见。
【景色】没得说，不论是太阳部落，还是卡乐小镇都各具特色，如果你是一个摄影爱好者，😉
而本人在游玩过程中发现有很多小朋友是参加研学活动来的，偶尔交流几句也很有趣。最重要的是，这里的工作人员非常非常热情。
【趣味】个人觉得 疯狂魔术师  西施  神话  大闹天宫这几款有关VR的项目不错，尤其是 神话 360度超大球型裸眼3D，可以说是卡乐压箱底级项目之一了；西施，舞台与科技的完美融合，带你在虚幻与现实之间来回穿梭，具体内容就不赘述了，大家看了就知道了。（顺带提一嘴，扮演西施的小姐姐真漂亮）其他的项目别的游乐园都有，就不赘述了。
【性价比】不要在园内买吃的！不要在园内买吃的！不要再园内买吃的！具体价格见下图，反正我个人认为来参观的大部分游客还没到随随便便就能在这吃喝的地步，而且，用餐的桌子不是很干净。个人推荐，可以学习研学的小朋友带便当，玩饿了就补充补充能量，水也可以自备。顺带一提，大门口的一家小超市和书亦的物价是正常的，如果先从远处带麻烦，可以在这购买。
关于交通，可以自驾游，也可以搭公交（特方便，还便宜）
最后附几张拍的照片
祝您旅游愉快！",1655220963000,0,15,,
YoYo_0M5M4G6X,5.0,卡乐星球，一票通玩，很多室内项目非常好看，有神话、奇幻博物馆、时光飞车、大闹天空等等，尤其是神话视觉效果特棒，如果喜欢玩刺激性的，那就得去太阳部落了，过山车都有几种，我们常德也有一家自己的主题公园，大家可不要错过呦。。,1587653817000,0,4,,
爱吃的橙子,5.0,值得体验，只有方特三分之二价格，项目一样的多，一天体验了14个项目。奇妙博物馆跟上海飞跃地平线一样精彩。神话国内唯一见到的360度球幕。心型过山车高空垂直加倒挂十分新颖。,1588252714000,0,3,,
YoYo_8W7H2K9S,5.0,"乐园比较新，游乐项目也很多，最大的特色应该是很多VR和4D影院类的项目，制作得很精美，观看又刺激又过瘾。各种身临其境的动画加上座椅的失重、超重、旋转，看多了还有点头晕目眩。

另外感觉工作人员认真负责，每一个游乐设施的工作人员都仔细检查安全座椅和防疫措施，让人感觉很安心。",1633422874000,0,2,家庭亲子,
YoYo_7L2W1L5C,5.0,常德卡乐星球欢乐科技园给我很不一般的感觉，这是个刚开业不久的欢乐体验园，但是他给我带来了很不错的体验，很多游乐设施很不错，室外很多充满刺激的体验项目，还有专属小朋友的童话王国，旋转木马，碰碰车，更有大朋友的过山车，海盗船，大摆锤等等刺激项目，最重要的是卡乐星球很多室内项目玩转了各种科技体验，让你身临其境，给你不一样的科技体验，总结一下，常德卡乐星球很不错，值得大家来打卡！小情侣，好闺蜜，好兄弟们，可以来体验体验了！真的值得推荐！,1587713173000,0,2,,
YoYo_8E9N1I2Z,5.0,门票贵了点，里面刺激项目就两个过山车和跳楼机大摆锤，适合带小朋友和喜欢温柔一点项目的伙伴，里面主题还是建的很有风格的，项目也还比较多一圈玩下来基本就到五六点了，还有部分项目没开放，比较期待水上过山车，下次有机会再去玩,1586225674000,0,3,,
YoYo_9X2J3E4W,5.0,可以说是既满足了孩子，又满足了万千少女们的美好幻想，那就是常德卡乐星球游乐园。才到门口，就被那城堡似的建筑给吸引了。欧式风情的城堡，清新梦幻的颜色，新奇有趣的形状……都给人一种童话小镇的感觉。入口处的牌匾上写着“卡乐星球”，有一种进入游乐园以后，就会去到另一个美妙世界的感觉，让人充满期待。在卡乐星球内游玩，处处都是惊喜。在被童话笼罩着的王国里，处处都是美人的身影，步步都能看见跟恐龙有关的元素，就连游玩项目也都跟海有着密切联系。游客还能在卡乐星球内的体验馆感受到各种高科技技术的神奇效果，在各个区域了解到不同的神话传说和文化知识，卡乐星球就是这样一个充满惊喜，让人受益匪浅的游乐园,1587723565000,0,2,,
YoYo_1M6W6Y8Z,5.0,小丑演员表演非常吸引人眼球，表演互动力超级强对游客也特别热情。还送了我小礼物，非常适合游玩，还有西施小姐姐也特别漂亮，项目也比较合我口味，推荐大家过来玩耍。,1587718268000,0,1,,
